anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2018,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,2,0
2018,200,ARG,22_6,Omisión adulteración y supresión de marcaje,187,0
2018,200,ARG,22_7,Otros delitos contra la seguridad pública,25547,0
2018,200,ARG,23,Delitos contra el orden público,7291,0
2018,200,ARG,24,Delitos contra la seguridad de la nación,89,0
2018,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,931,0
2018,200,ARG,26,Delitos contra la administración pública,40380,0
2018,200,ARG,27,Delitos contra la fe pública,8837,0
2018,200,ARG,28_1,Siembra y producción de estupefacientes,222,0
2018,200,ARG,28_10,Otros delitos previstos en la ley 23.737,16674,0
2018,200,ARG,28_2,Comercialización y entrega de estupefacientes,5946,0
2018,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,643,0
2018,200,ARG,28_4,Desvío de Importación de estupefacientes,20,0
2018,200,ARG,28_5,Organización y financiación de estupefacientes,173,0
2018,200,ARG,28_6,Tenencia simple de estupefacientes,8110,0
2018,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,28688,0
2018,200,ARG,28_8,Confabulación de estupefacientes,123,0
2018,200,ARG,28_9,Contrabando de estupefacientes,899,0
2018,200,ARG,29_1,Ley de residuos peligrosos,67,0
2018,200,ARG,29_2,Ley de fauna,742,0
2018,200,ARG,29_3,Delitos migratorios,604,0
2018,200,ARG,29_4,Obstrucción del código aduanero,333,0
2018,200,ARG,29_5,Contrabando Simple,5295,0
2018,200,ARG,29_6,Contrabando Agravado,170,0
2018,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,0
2018,200,ARG,29_8,Otros delitos previstos en leyes especiales,32436,0
2018,200,ARG,3,Muertes en Accidentes Viales,4294,4803
2018,200,ARG,31,Suicidios (consumados),3788,3788
2018,200,ARG,32,Delitos contra el orden económico y financiero,289,0
2018,200,ARG,4,Homicidios culposos por otros hechos,429,459
2018,200,ARG,5,Lesiones dolosas,135973,142539
2018,200,ARG,6,Lesiones culposas en Accidentes Viales,95718,111890
2018,200,ARG,7,Lesiones culposas por otros hechos,6696,6988
2018,200,ARG,8,Otros delitos contra las personas,59453,61208
2018,200,ARG,9,Delitos contra el honor,560,568
2019,200,ARG,1,Homicidios dolosos,2237,2306
2019,200,ARG,10,Violaciones,5461,5544
2019,200,ARG,11,Otros delitos contra la integridad sexual,15915,16618
2019,200,ARG,12,Delitos contra el estado civil,233,0
2019,200,ARG,13,Amenazas,184012,0
2019,200,ARG,14_1,Trata de personas simple,133,0
2019,200,ARG,14_2,Trata de personas agravado,18,0
2019,200,ARG,14_3,Otros delitos contra la libertad,12375,0
2019,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),471801,0
2019,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),28499,0
2019,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,6981,0
2019,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1447,0
2019,200,ARG,19,Hurtos,333350,0
2019,200,ARG,2,Homicidios dolosos en grado de tentativa,1513,1665
2019,200,ARG,20,Tentativas de hurto,13572,0
2019,200,ARG,21,Otros delitos contra la propiedad,123972,0
2019,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,115,0
2019,200,ARG,22_2,Tenencia ilegal de armas de fuego,2923,0
2019,200,ARG,22_3,Portación ilegal de armas de fuego,1728,0
2019,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,87,0
2019,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,84,0
